,title,paragraph_num,paragraph_text,actors_in_paragraph,actors_list,2_plus_actors,numb_unique_actors
780,"Voorbereiding van het GLB-NSP commissiedebat op 8 december, inclusief concept NSP & S-MER",36,"De door de Kamer aangenomen motie van de leden Tjeerd de Groot en Boswijk vraagt om een prominente plek voor biologische landbouw in het NSP.
Ter uitvoering van deze motie is er eerder een SWOT","['de Groot', 'Boswijk']","['de Groot', 'Boswijk']",True,2
792,"Voorbereiding van het GLB-NSP commissiedebat op 8 december, inclusief concept NSP & S-MER",48,"Motie van Smeulders (GroenLinks) en Beckerman (SP) (Kamerstuk 35 309, nr. 10)","['Smeulders', 'Beckerman']","['Smeulders', 'Beckerman']",True,2
793,"Voorbereiding van het GLB-NSP commissiedebat op 8 december, inclusief concept NSP & S-MER",49,"De door uw Kamer in juni 2020 aangenomen motie van de leden Smeulders en Beckerman verzoekt de regering te verkennen hoe in het NSP een nieuwe bossenregeling vormgegeven zou kunnen worden die boeren beloont voor het aanplanten van bossen en waarmee deze grond de agrarische bestemming behoudt.
In het nieuwe NSP wordt de definitie van landbouwgrond aangepast, hiermee wordt meer ruimte geboden voor landschapselementen en agroforestry.
Dit houdt in dat vanaf 2023 niet maximaal 50 maar maximaal 100 bomen en lijnelementen per hectare nog gelden als subsidiabele landbouwgrond.
In het geval van permanente teelten, zoals voedselbossen, zijn bovendien al meer bomen per hectare toegestaan.
Bosbouw zelf is niet meegenomen als subsidiabele landbouwgrond vanuit de gedachte het GLB zoveel mogelijk voor agrarische doelen te behouden.
Er is daarom binnen het NSP niet voorzien in een regeling voor snelgroeiend bos.
Wel is er voorzien in interventies voor agroforestry en landschapselementen, waaronder vergoedingen voor beheer en aanleg.
De ecoregeling en ANLb bieden straks bijvoorbeeld ruimte om beheer te vergoeden van houtopstranden op landbouwgronden.
Daarnaast is er binnen het budget voor investeringen ruimte voor de aanleg van landschapselementen en agroforestry.","['Smeulders', 'Beckerman']","['Smeulders', 'Beckerman']",True,2
796,"Voorbereiding van het GLB-NSP commissiedebat op 8 december, inclusief concept NSP & S-MER",52,"Op verzoek van het bestuurlijk overleg, LTO en uw Kamer heeft de WUR een nieuwe economische impact analyse gedaan op twee onderdelen:
berekening van inkomenseffecten en een inschatting van kosten en gederfde inkomsten als gevolg van de GLMC’s.
Bijgaand treft u het rapport van de WUR aan.
Daarmee geef ik uitvoering aan de motie van het lid Van Campen van 24 juni 2021 (Kamerstuk 21 501-32, nr. 1310) om de uitkomsten van pilots, klankbordgroepen en uitvoeringstoetsen met de Kamer te delen en betrekken bij het op te stellen NSP.
De Minister van Landbouw, Natuur en Voedselkwaliteit, C.J. Schouten","['Van Campen', 'Schouten']","['Van Campen', 'Schouten']",True,2
1041,Verslag van een schriftelijk overleg met de toenmalige minister van LNV en de minister voor N&S over de zevende Voortgangsrapportage Natuur,10,"Koffeman (PvdD), Faber-Van de Klashorst (PVV), Van Strien (PVV), Gerkens (SP), Atsma (CDA) (ondervoorzitter), Pijlman (D66), Schalk (SGP), Klip-Martin (VVD), Van Rooijen (50PLUS), Van Ballekom (VVD), Vos (VVD), Crone (PvdA), Dessing (FVD), Van Gurp (GL), Huizinga-Heringa (CU), Kluit (GL), Van der Linden (Fractie-Nanninga) (voorzitter), Meijer (VVD), Otten (Fractie-Otten), Prins (CDA), Vendrik (GL), Van der Voort (D66), Berkhout (Fractie-Nanninga), Raven (OSF), Karakus (PvdA) en Soeharno (CDA).","['Strien', 'Pijlman', 'Rooijen', 'Gurp', 'Van der Linden', 'Meijer', 'Prins', 'Vendrik', 'Raven']","['Strien', 'Pijlman', 'Rooijen', 'Gurp', 'Van der Linden', 'Meijer', 'Prins', 'Vendrik', 'Raven']",True,9
1108,Antwoord op vragen van de leden Vestering en Van Esch over duisternis en stilte,4,Vestering en Van Esch (beiden PvdD),"['Vestering', 'Esch']","['Vestering', 'Esch']",True,2
1219,Nationale Eiwit Strategie,29,"Voordat een bedrijf zo’n voedingsmiddel op de markt introduceert, moet een veiligheidsdossier worden ingediend bij de Europese Commissie, waarna EFSA dit dossier beoordeelt.
Bij een positief oordeel stemmen de EU-lidstaten over een eventuele toelating voor de gehele EU-markt.
Op dit moment is er nog geen dossier ingediend voor een dergelijke toelating van kweekvlees als nieuw voedingsmiddel.
Het is echter mogelijk een nog niet op grond van de Europese wetgeving geautoriseerd nieuw voedingsmiddel te proeven onder gecontroleerde experimentele omstandigheden.
Over de mogelijkheden van deze proeverijen vinden, in lijn met de motie van de leden Tjeerd de Groot en Valstar 5 Kamerstuk 27 428, nr. 383.
gesprekken plaats met twee kweekvleesbedrijven.
Het eerste gesprek heeft medio mei plaatsgevonden.
In deze gesprekken is ook de ingezonden informatie van Kamerlid De Groot over de voorwaarden van proeverijen meegenomen.
VWS onderzoekt momenteel die extra informatie, als verantwoordelijk departement voor de voorwaarden van dergelijke proeverijen.
Ik zal uw Kamer op korte termijn informeren over de uitkomsten hiervan.
Ook voor plantaardige nieuwe eiwitbronnen zijn in 2021 meerdere publiek-private onderzoeksprojecten gestart.
Het gaat dan bijvoorbeeld om het ontwikkelen van productieketens voor microalgen, bacteriën, schimmels en gist;
veredeling van suikerbieten;
teelt van eendenkroos, en ontwikkeling van eiwitproducten op basis van fermentatie.
Deze kabinetsperiode wil ik via publiek-privaat onderzoek een extra accent zetten op de ontwikkeling van gewassen en andere eiwitbronnen die zowel voor veevoer als humane voeding een basis kunnen vormen.
Daarmee wil ik zien hoe ik kan bijdragen aan het versterken van verdienmodellen voor deze eiwitbronnen.
Ook ben ik met het Nederlandse Organisatie voor Wetenschappelijk Onderzoek (NWO) in gesprek over de mogelijkheden om extra onderzoek te verrichten naar de ontwikkeling van nieuwe eiwitten en nieuwe verwerkingsmethoden.
Verder bied ik vanuit mijn PPS-onderzoeksmiddelen steun aan, bijvoorbeeld, onderzoek naar productiemethoden, voedselveiligheid van nieuwe eiwitten en milieu-impact van de productie.
Dit onderzoek draagt bij aan de acceptatie en transitie naar inzet van alternatieve eiwitbronnen.
Op het gebied van aquacultuur tenslotte, is eind maart 2022 het ontwerpprogramma Noordzee 2022–2027 (PNZ) aan de Kamer aangeboden","['de Groot', 'Valstar', 'Groot']","['de Groot', 'Valstar', 'Groot']",True,3
1227,Nationale Eiwit Strategie,37,"dat verder op kansen en risico’s ingaat.
In het coalitieakkoord heeft het kabinet al aangegeven de inzet op kringlooplandbouw voort te willen zetten, onder meer via het gebruik van reststromen in veevoer.
Als alle reststromen vanuit retail, catering en voedselketens ook zouden kunnen worden aangewend in veevoer, kan dit zo’n 17% van de import van soja-eiwit van buiten de EU vervangen;
met de inzet van keukenafval in veevoer kan volgens de voornoemde studie van WecR zelfs 32% van de import bespaard worden 10 WUR, januari 2022, ibid..
Bovendien draagt de inzet van reststromen ertoe bij dat hulpstoffen zo efficiënt mogelijk worden ingezet.
Hierdoor kunnen het beslag op water en land en de CO 2-uitstoot afnemen.
Op dit moment worden door de diervoedersector al diverse stromen kringloopwaardige grondstoffen gebruik voor veevoer.
Denk hierbij bijvoorbeeld aan stromen van – voor humaan gebruik afgekeurde – koekjes, brood en snoepjes (voormalig levensmiddelen) en de eerdergenoemde diermelen.
Om een zo sterk mogelijke ingroei te realiseren, zoals gevraagd in de motie van het lid Tjeerd de Groot
11 Motie van het lid Tjeerd de Groot over doelstelling ingroei kringloopwaardig veevoer in eiwitstrategie, Kamerstuk 35 925 XIV, nr. 134.
, wil ik mij met kracht blijven inzetten op toelating van een breder spectrum aan reststromen binnen de EU.
Ik wil daarbij aandringen op zowel de aanpassing van de Verordening dierlijke bijproducten ten aanzien van het gebruik van keukenafval en cateringafval in diervoeder, als de aanpassing van de Uitvoeringsverordening rond verwerkingsmethoden van dierlijke bijproducten.
Uiteraard blijft hierbij de voedselveiligheid voorop staan.
Daarnaast zet ik mij in om samen met de veevoerindustrie tot afspraken te komen om meer eiwithoudende grondstoffen vanuit Europa te gebruiken, zoals de Kamer ook verzocht heeft met de motie van het lid Boswijk 12
De motie van het lid Boswijk, verzoekt de regering om in EU-verband in te zetten op «made in Europe»-eiwitten.","['de Groot', 'de Groot', 'Boswijk', 'Boswijk']","['de Groot', 'de Groot', 'Boswijk', 'Boswijk']",True,2
1234,Nationale Eiwit Strategie,44,"Overige stappen in deze kabinetsperiode Monitoring
Het algemene doel van de NES is om te zorgen voor een vergroot aanbod van alternatieve en plantaardige eiwitten en daarmee de zelfvoorzieningsgraad van Nederland en Europa binnen vijf tot tien jaar te vergroten.
Als «missiedoel» is geformuleerd dat plantaardige eiwitrijke grondstoffen in Nederlands diervoeder in 2025 voor het merendeel uit de EU komen.
Dit zijn ambitieuze doelstellingen.
Het gaat in veel van de sporen om innovatieve ontwikkelingen die hun eigen onzekerheden kennen en waarvan markten nog in ontwikkeling zijn.
Bovendien is de realisatie mede afhankelijk van Europese afspraken.
Ik acht 2030 dan ook een meer realistisch jaar voor het behalen van de algemene doelstelling van de NES.
Daarmee wil ik echter niets afdoen aan de ambities zelf.
Er zit veel energie in de markt en is er mij veel aan gelegen om de ontwikkelingen krachtig te ondersteunen.
Om partijen houvast te bieden om hun voortgang ook te monitoren, werk ik aan versterkte monitoring voor de NES.
Er bestaan reeds monitors zoals de monitor voedselverspilling en de voedselconsumptiepeiling die inzicht geven in een deel van de stappen die binnen het kader van de NES gezet worden.
Aanvullend ben ik in gesprek met de diervoedersector over een monitor die onder andere gericht is op de herkomst van diervoedergrondstoffen.
Deze monitor biedt houvast om als sector een indicator te ontwikkelen voor de verhouding tussen voor humane consumptie geschikte eiwitten in veevoer en eiwitten en reststromen die alleen geschikt zijn voor veevoer.
Hiermee geef ik uitvoering aan de motie van de leden Boswijk en Tjeerd de Groot 16 Motie van de leden Boswijk en Tjeerd de Groot, Kamerstuk 35 925 XIV, nr. 148..
Ook heb ik de WUR gevraagd om onderzoek uit te voeren naar de circulariteit van reststroombenutting en te bepalen welke elementen in een monitor belangrijk zijn om te kunnen sturen op een verdere ingroei naar circulariteit van diervoer, zoals gevraagd in voornoemde motie van het lid Tjeerd de Groot.","['Boswijk', 'de Groot', 'Boswijk', 'de Groot', 'de Groot']","['Boswijk', 'de Groot', 'Boswijk', 'de Groot', 'de Groot']",True,2
1241,Nationale Eiwit Strategie,51,"U bent hierover op 28 januari door de Minister van Buitenlandse Zaken geïnformeerd 18 Kamerstuk 22 112, nr. 3281, Nieuwe Commissievoorstellen en initiatieven van de lidstaten van de Europese Unie, Fiche Verordening betreffende ontbossingsvrije producten..
Op verzoek van uw Kamer zet ik mij, samen met de Minister voor Natuur en Stikstof, daarbij in om de strekking van de verordening te verruimen tot andere waardevolle ecosystemen (bijvoorbeeld savannes, wetlands en mangroves) en van soja afgeleide producten, zoals gevraagd in de moties van het lid Boswijk en van de leden Wassenberg en Teunissen 19 Motie van het lid Boswijk, Kamerstuk 21 501-32, nr. 1392. , 20 Motie van de leden Wassenberg en Teunissen, Kamerstuk 21 501-32, nr. 1395..
Momenteel vindt hierover een intensief overleg plaats tussen Lidstaten, Commissie en EP, dat mogelijk in de loop van dit jaar al zal leiden tot vaststelling van de betreffende Verordening.
Versterking samenwerking met regiopartners en lokale initiatieven
In de provincies is veel energie om samen met regionale stakeholders kansen en uitdagingen rond vergrote inzet van reststromen, alternatieve teelten en de eiwittransitie op te pakken.
De voorbeelden die ik hierboven genoemd heb, zijn daar al een bewijs van, maar er zijn nog talloze andere, onder meer in de Food Tech Brainport.
Deze energie wil ik graag benutten om samen met regionale stakeholders deze initiatieven verder vorm te geven en andere op te halen die een belangrijke rol kunnen spelen in de aanpak van de klimaat, stikstof en wateropgaven, waaronder de gebiedsgerichte aanpak.","['Boswijk', 'Wassenberg', 'Teunissen', 'Boswijk', 'Wassenberg', 'Teunissen']","['Boswijk', 'Wassenberg', 'Teunissen', 'Boswijk', 'Wassenberg', 'Teunissen']",True,3
1684,"Bijlage 4 behorende bij toelichting ""Bestemmingsplan Buitengebied Hardenberg, Landgoed De Groote Scheere""",295,"Huidige ruimtelijke kwaliteiten - Regelmatige blokverkaveling;
- Open gebied met ligging tussen twee herkenbare bosgebieden (De Kiefte en Veenema’s berg);
- Boerderijen op terpen, open erven;
- Bebouwing op hooggelegen plekken, gelegen aan de weg;
- Beperkte infrastructuur, wegen deels op dijklichaam;
- Bosgebieden De Kiefte en Veenema","['Kiefte', 'Veenema', 'Kiefte', 'Veenema']","['Kiefte', 'Veenema', 'Kiefte', 'Veenema']",True,2
2280,BIJLAGE 1 Beleidsplan circulaire economie,536,"Nadenken over hoe een circulaire keten eruit kan zien.
De modules worden in overleg met de scholen vormgegeven zodat ze in verschillende curricula passen.
De module wol/textiel is gestart met drie pilotscholen uit de kernen van Bergen.
De leerkrachten krijgen vanuit de gemeente een inspiratieworkshop, lesmateriaal en zij worden in de klas bijgestaan door experts.
Bij deze module zijn dat;
Claudy Jongstra, Laura Meijering, schaapsherder Marijke Dirkson en haar medewerkers van het wolatelier uit de BUCH.
Zie extra toelichting over onderwijs in bijlage 5.5.","['Jongstra', 'Meijering', 'Dirkson']","['Jongstra', 'Meijering', 'Dirkson']",True,3
